Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
12,Entry long,2025-08-30 06:30,Long,3.2679,21.53,70.357887,-2.18,-3.10,0.07,1.74,2.47,-2.15,-3.05,3.5,3.50,104
13,Exit long,2025-09-02 00:30,Long Exit,3.201,26.97,86.010027,0.23,0.27,0.09,3.96,4.60,-0.49,-0.56,3.74,3.74,19
13,Entry long,2025-09-01 15:00,Long,3.1891,26.97,86.010027,0.23,0.27,0.09,3.96,4.60,-0.49,-0.56,3.74,3.74,19
14,Exit long,2025-09-04 23:00,Long Exit,3.2592,19.19,60.855328,1.63,2.67,0.06,4.47,7.34,-0.22,-0.37,5.36,5.36,127
14,Entry long,2025-09-02 07:30,Long,3.1712,19.19,60.855328,1.63,2.67,0.06,4.47,7.34,-0.22,-0.37,5.36,5.36,127
15,Exit short,2025-09-05 20:30,Short Exit,3.424,35.06,117.938334,-2.23,-1.89,0.12,0.08,0.07,-2.17,-1.84,3.14,3.14,6
15,Entry short,2025-09-05 17:30,Short,3.3639,35.06,117.938334,-2.23,-1.89,0.12,0.08,0.07,-2.17,-1.84,3.14,3.14,6
16,Exit short,2025-09-08 21:00,Short Exit,3.4945,14.78,49.583944,-2.12,-4.26,0.05,0.63,1.27,-2.09,-4.21,1.02,1.02,141
16,Entry short,2025-09-05 22:30,Short,3.3548,14.78,49.583944,-2.12,-4.26,0.05,0.63,1.27,-2.09,-4.21,1.02,1.02,141
17,Exit short,2025-09-09 14:00,Short Exit,3.5415,23.6,81.5616,-2.1,-2.57,0.08,0.75,0.92,-2.06,-2.52,-1.08,-1.08,24
17,Entry short,2025-09-09 02:00,Short,3.456,23.6,81.5616,-2.1,-2.57,0.08,0.75,0.92,-2.06,-2.52,-1.08,-1.08,24
