trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
35,long,2025-10-06T08:30:00Z,2025-10-07T16:30:00Z,3.6421,3.4717,27.64,100.667644,-4.81,-4.77,1.81,1.80,-5,-4.97,-4.12,-4.12,64,Long,Close Long
36,short,2025-10-07T17:00:00Z,2025-10-12T16:30:00Z,3.492,2.7356,27.45,95.8554,20.68,21.56,80.47,83.91,-2.04,-2.13,16.56,16.56,239,Short,Close Short
37,long,2025-10-12T17:00:00Z,2025-10-14T08:30:00Z,2.7599,2.7209,42.23,116.550577,-1.76,-1.51,10.64,9.13,-3.87,-3.32,14.79,14.79,79,Long,Close Long
38,short,2025-10-14T09:00:00Z,2025-10-14T17:30:00Z,2.7236,2.8444,42.14,114.772504,-5.21,-4.54,3.04,2.65,-6.31,-5.50,9.59,9.59,17,Short,Close Short
39,long,2025-10-14T18:00:00Z,2025-10-15T15:00:00Z,2.8278,2.7436,38.75,109.57725,-3.37,-3.07,2.35,2.14,-4.41,-4.03,6.22,6.22,42,Long,Close Long
40,short,2025-10-15T15:30:00Z,2025-10-18T12:30:00Z,2.7295,2.4908,38.91,106.204845,9.19,8.65,17.47,16.44,-0.48,-0.45,15.4,15.40,138,Short,Close Short
41,long,2025-10-18T13:00:00Z,2025-10-21T03:00:00Z,2.491,2.5388,46.32,115.38312,2.1,1.82,8.6,7.45,-2.4,-2.08,17.5,17.50,124,Long,Close Long
42,short,2025-10-21T03:30:00Z,2025-10-21T16:30:00Z,2.5357,2.678,46.33,117.478981,-6.71,-5.71,3.06,2.61,-6.93,-5.90,10.79,10.79,26,Short,Close Short
43,long,2025-10-21T17:00:00Z,2025-10-21T23:00:00Z,2.6219,2.5188,42.25,110.775275,-4.46,-4.03,0.91,0.82,-4.89,-4.41,6.32,6.32,12,Long,Close Long
44,short,2025-10-21T23:30:00Z,2025-10-23T18:30:00Z,2.5068,2.4764,42.41,106.313388,1.18,1.11,7.11,6.68,-0.07,-0.06,7.5,7.50,86,Short,Close Short
45,long,2025-10-23T19:00:00Z,2025-10-23T23:00:00Z,2.4656,2.4244,43.6,107.50016,-1.9,-1.77,0.09,0.08,-2.72,-2.53,5.6,5.60,8,Long,Close Long
46,short,2025-10-23T23:30:00Z,2025-10-24T06:30:00Z,2.4245,2.4789,43.55,105.586975,-2.48,-2.34,1.2,1.13,-2.85,-2.70,3.13,3.13,14,Short,Close Short
47,long,2025-10-24T07:00:00Z,2025-10-28T06:00:00Z,2.4766,2.5664,41.64,103.125624,3.63,3.52,9.98,9.67,-1.54,-1.49,6.76,6.76,190,Long,Close Long
48,short,2025-10-28T06:30:00Z,2025-10-31T15:30:00Z,2.5828,2.3813,41.33,106.747124,8.23,7.70,15.52,14.53,-3.07,-2.87,14.99,14.99,162,Short,Close Short
49,long,2025-10-31T16:00:00Z,2025-10-31T19:00:00Z,2.37,2.3402,48.51,114.9687,-1.56,-1.36,0.18,0.16,-3.59,-3.12,13.43,13.43,6,Long,Close Long
50,short,2025-10-31T19:30:00Z,2025-11-01T00:00:00Z,2.357,2.3625,48.12,113.41884,-0.38,-0.33,0.28,0.24,-1.89,-1.66,13.05,13.05,9,Short,Close Short
51,long,2025-11-01T05:00:00Z,2025-11-02T15:00:00Z,2.3658,2.3157,47.78,113.037924,-2.51,-2.22,1.69,1.50,-3.16,-2.80,10.54,10.54,68,Long,Close Long
52,short,2025-11-02T15:30:00Z,2025-11-05T07:00:00Z,2.3319,2.0323,47.4,110.53206,14.1,12.75,24.19,21.87,-1.48,-1.34,24.64,24.64,127,Short,Close Short
53,long,2025-11-05T07:30:00Z,2025-11-06T08:00:00Z,2.015,1.9916,61.85,124.62775,-1.57,-1.26,3.25,2.61,-2.1,-1.68,23.07,23.07,49,Long,Close Long
54,short,2025-11-06T08:30:00Z,2025-11-07T17:00:00Z,1.999,2.0967,61.56,123.05844,-6.14,-4.99,5.95,4.84,-7.26,-5.90,16.93,16.93,65,Short,Close Short
55,long,2025-11-07T17:30:00Z,2025-11-11T09:00:00Z,2.1398,2.0885,54.64,116.918672,-2.92,-2.49,4.86,4.15,-5.13,-4.38,14.01,14.01,175,Long,Close Long
56,short,2025-11-11T09:30:00Z,2025-11-18T18:00:00Z,2.0962,1.6795,54.38,113.991356,22.56,19.78,28.13,24.67,-0.73,-0.64,36.57,36.57,353,Short,Close Short
57,long,2025-11-18T18:30:00Z,2025-11-19T06:00:00Z,1.6866,1.6222,80.97,136.564002,-5.35,-3.91,0.91,0.67,-6.4,-4.68,31.22,31.22,23,Long,Close Long
58,short,2025-11-19T06:30:00Z,2025-11-23T03:00:00Z,1.6294,1.3877,80.53,131.215582,19.34,14.73,25.62,19.51,-2.88,-2.19,50.56,50.56,185,Short,Close Short
59,long,2025-11-23T03:30:00Z,2025-11-26T14:00:00Z,1.381,1.4904,109.01,150.54281,11.77,7.81,25.66,17.04,-4.46,-2.96,62.33,62.33,165,Long,Close Long
60,short,2025-11-26T14:30:00Z,2025-11-26T19:00:00Z,1.4875,1.5524,109.12,162.316,-7.25,-4.46,2,1.23,-7.25,-4.46,55.08,55.08,9,Short,Close Short
61,long,2025-11-26T19:30:00Z,2025-11-29T03:30:00Z,1.5442,1.513,100.42,155.068564,-3.29,-2.12,5.51,3.55,-4.27,-2.75,51.8,51.80,112,Long,Close Long
62,short,2025-11-29T04:00:00Z,2025-11-30T10:00:00Z,1.5126,1.5466,100.35,151.78941,-3.57,-2.35,2.77,1.83,-3.6,-2.37,48.23,48.23,60,Short,Close Short
63,long,2025-11-30T10:30:00Z,2025-11-30T23:30:00Z,1.5419,1.4958,96.14,148.238266,-4.58,-3.09,2.55,1.72,-4.76,-3.21,43.65,43.65,26,Long,End Close
