Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
40,Entry short,2025-10-15 23:30,Short,2.7295,38.91,106.204845,9.19,8.65,0.1,17.47,16.44,-0.48,-0.45,15.4,15.40,138
41,Exit long,2025-10-21 11:00,Close Long,2.5388,46.32,115.38312,2.1,1.82,0.12,8.6,7.45,-2.4,-2.08,17.5,17.50,124
41,Entry long,2025-10-18 21:00,Long,2.491,46.32,115.38312,2.1,1.82,0.12,8.6,7.45,-2.4,-2.08,17.5,17.50,124
42,Exit short,2025-10-22 00:30,Close Short,2.678,46.33,117.478981,-6.71,-5.71,0.12,3.06,2.61,-6.93,-5.90,10.79,10.79,26
42,Entry short,2025-10-21 11:30,Short,2.5357,46.33,117.478981,-6.71,-5.71,0.12,3.06,2.61,-6.93,-5.90,10.79,10.79,26
43,Exit long,2025-10-22 07:00,Close Long,2.5188,42.25,110.775275,-4.46,-4.03,0.11,0.91,0.82,-4.89,-4.41,6.32,6.32,12
43,Entry long,2025-10-22 01:00,Long,2.6219,42.25,110.775275,-4.46,-4.03,0.11,0.91,0.82,-4.89,-4.41,6.32,6.32,12
44,Exit short,2025-10-24 02:30,Close Short,2.4764,42.41,106.313388,1.18,1.11,0.11,7.11,6.68,-0.07,-0.06,7.5,7.50,86
44,Entry short,2025-10-22 07:30,Short,2.5068,42.41,106.313388,1.18,1.11,0.11,7.11,6.68,-0.07,-0.06,7.5,7.50,86
45,Exit long,2025-10-24 07:00,Close Long,2.4244,43.6,107.50016,-1.9,-1.77,0.11,0.09,0.08,-2.72,-2.53,5.6,5.60,8
45,Entry long,2025-10-24 03:00,Long,2.4656,43.6,107.50016,-1.9,-1.77,0.11,0.09,0.08,-2.72,-2.53,5.6,5.60,8
46,Exit short,2025-10-24 14:30,Close Short,2.4789,43.55,105.586975,-2.48,-2.34,0.11,1.2,1.13,-2.85,-2.70,3.13,3.13,14
46,Entry short,2025-10-24 07:30,Short,2.4245,43.55,105.586975,-2.48,-2.34,0.11,1.2,1.13,-2.85,-2.70,3.13,3.13,14
47,Exit long,2025-10-28 14:00,Close Long,2.5664,41.64,103.125624,3.63,3.52,0.1,9.98,9.67,-1.54,-1.49,6.76,6.76,190
47,Entry long,2025-10-24 15:00,Long,2.4766,41.64,103.125624,3.63,3.52,0.1,9.98,9.67,-1.54,-1.49,6.76,6.76,190
48,Exit short,2025-10-31 23:30,Close Short,2.3813,41.33,106.747124,8.23,7.70,0.1,15.52,14.53,-3.07,-2.87,14.99,14.99,162
48,Entry short,2025-10-28 14:30,Short,2.5828,41.33,106.747124,8.23,7.70,0.1,15.52,14.53,-3.07,-2.87,14.99,14.99,162
49,Exit long,2025-11-01 03:00,Close Long,2.3402,48.51,114.9687,-1.56,-1.36,0.11,0.18,0.16,-3.59,-3.12,13.43,13.43,6
49,Entry long,2025-11-01 00:00,Long,2.37,48.51,114.9687,-1.56,-1.36,0.11,0.18,0.16,-3.59,-3.12,13.43,13.43,6
50,Exit short,2025-11-01 08:00,Close Short,2.3625,48.12,113.41884,-0.38,-0.33,0.11,0.28,0.24,-1.89,-1.66,13.05,13.05,9
50,Entry short,2025-11-01 03:30,Short,2.357,48.12,113.41884,-0.38,-0.33,0.11,0.28,0.24,-1.89,-1.66,13.05,13.05,9
51,Exit long,2025-11-02 23:00,Close Long,2.3157,47.78,113.037924,-2.51,-2.22,0.11,1.69,1.50,-3.16,-2.80,10.54,10.54,68
51,Entry long,2025-11-01 13:00,Long,2.3658,47.78,113.037924,-2.51,-2.22,0.11,1.69,1.50,-3.16,-2.80,10.54,10.54,68
52,Exit short,2025-11-05 15:00,Close Short,2.0323,47.4,110.53206,14.1,12.75,0.1,24.19,21.87,-1.48,-1.34,24.64,24.64,127
52,Entry short,2025-11-02 23:30,Short,2.3319,47.4,110.53206,14.1,12.75,0.1,24.19,21.87,-1.48,-1.34,24.64,24.64,127
53,Exit long,2025-11-06 16:00,Close Long,1.9916,61.85,124.62775,-1.57,-1.26,0.12,3.25,2.61,-2.1,-1.68,23.07,23.07,49
53,Entry long,2025-11-05 15:30,Long,2.015,61.85,124.62775,-1.57,-1.26,0.12,3.25,2.61,-2.1,-1.68,23.07,23.07,49
54,Exit short,2025-11-08 01:00,Close Short,2.0967,61.56,123.05844,-6.14,-4.99,0.13,5.95,4.84,-7.26,-5.90,16.93,16.93,65
54,Entry short,2025-11-06 16:30,Short,1.999,61.56,123.05844,-6.14,-4.99,0.13,5.95,4.84,-7.26,-5.90,16.93,16.93,65
55,Exit long,2025-11-11 17:00,Close Long,2.0885,54.64,116.918672,-2.92,-2.49,0.12,4.86,4.15,-5.13,-4.38,14.01,14.01,175
55,Entry long,2025-11-08 01:30,Long,2.1398,54.64,116.918672,-2.92,-2.49,0.12,4.86,4.15,-5.13,-4.38,14.01,14.01,175
56,Exit short,2025-11-19 02:00,Close Short,1.6795,54.38,113.991356,22.56,19.78,0.1,28.13,24.67,-0.73,-0.64,36.57,36.57,353
56,Entry short,2025-11-11 17:30,Short,2.0962,54.38,113.991356,22.56,19.78,0.1,28.13,24.67,-0.73,-0.64,36.57,36.57,353
57,Exit long,2025-11-19 14:00,Close Long,1.6222,80.97,136.564002,-5.35,-3.91,0.13,0.91,0.67,-6.4,-4.68,31.22,31.22,23
57,Entry long,2025-11-19 02:30,Long,1.6866,80.97,136.564002,-5.35,-3.91,0.13,0.91,0.67,-6.4,-4.68,31.22,31.22,23
58,Exit short,2025-11-23 11:00,Close Short,1.3877,80.53,131.215582,19.34,14.73,0.12,25.62,19.51,-2.88,-2.19,50.56,50.56,185
58,Entry short,2025-11-19 14:30,Short,1.6294,80.53,131.215582,19.34,14.73,0.12,25.62,19.51,-2.88,-2.19,50.56,50.56,185
59,Exit long,2025-11-26 22:00,Close Long,1.4904,109.01,150.54281,11.77,7.81,0.16,25.66,17.04,-4.46,-2.96,62.33,62.33,165
59,Entry long,2025-11-23 11:30,Long,1.381,109.01,150.54281,11.77,7.81,0.16,25.66,17.04,-4.46,-2.96,62.33,62.33,165
60,Exit short,2025-11-27 03:00,Close Short,1.5524,109.12,162.316,-7.25,-4.46,0.17,2,1.23,-7.25,-4.46,55.08,55.08,9
60,Entry short,2025-11-26 22:30,Short,1.4875,109.12,162.316,-7.25,-4.46,0.17,2,1.23,-7.25,-4.46,55.08,55.08,9
61,Exit long,2025-11-29 11:30,Close Long,1.513,100.42,155.068564,-3.29,-2.12,0.15,5.51,3.55,-4.27,-2.75,51.8,51.80,112
61,Entry long,2025-11-27 03:30,Long,1.5442,100.42,155.068564,-3.29,-2.12,0.15,5.51,3.55,-4.27,-2.75,51.8,51.80,112
62,Exit short,2025-11-30 18:00,Close Short,1.5466,100.35,151.78941,-3.57,-2.35,0.15,2.77,1.83,-3.6,-2.37,48.23,48.23,60
62,Entry short,2025-11-29 12:00,Short,1.5126,100.35,151.78941,-3.57,-2.35,0.15,2.77,1.83,-3.6,-2.37,48.23,48.23,60
63,Exit long,2025-12-01 07:30,End Close,1.4958,96.14,148.238266,-4.58,-3.09,0.15,2.55,1.72,-4.76,-3.21,43.65,43.65,26
63,Entry long,2025-11-30 18:30,Long,1.5419,96.14,148.238266,-4.58,-3.09,0.15,2.55,1.72,-4.76,-3.21,43.65,43.65,26
