Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
7,Exit short,2025-08-10 12:00,Short Exit,3.9831,18.97,73.54669,-2.09,-2.84,0.07,0.14,0.19,-2.05,-2.79,-1.4,-1.40,48
7,Entry short,2025-08-09 12:00,Short,3.877,18.97,73.54669,-2.09,-2.84,0.07,0.14,0.19,-2.05,-2.79,-1.4,-1.40,48
8,Exit long,2025-08-13 09:00,Long Exit,3.8659,18.63,68.519277,3.43,5.01,0.07,4.73,6.89,-1.54,-2.24,2.03,2.03,49
8,Entry long,2025-08-12 08:30,Long,3.6779,18.63,68.519277,3.43,5.01,0.07,4.73,6.89,-1.54,-2.24,2.03,2.03,49
9,Exit short,2025-08-14 11:30,Short Exit,4.145,11.78,46.786626,-2.09,-4.46,0.05,0.74,1.59,-2.06,-4.41,-0.06,-0.06,26
9,Entry short,2025-08-13 22:30,Short,3.9717,11.78,46.786626,-2.09,-4.46,0.05,0.74,1.59,-2.06,-4.41,-0.06,-0.06,26
10,Exit short,2025-08-14 21:00,Short Exit,3.7755,11.82,48.265788,3.59,7.44,0.05,4.85,10.05,-0.02,-0.05,3.53,3.53,15
10,Entry short,2025-08-14 13:30,Short,4.0834,11.82,48.265788,3.59,7.44,0.05,4.85,10.05,-0.02,-0.05,3.53,3.53,15
11,Exit long,2025-08-18 13:30,Long Exit,3.5763,11.73,44.017998,-2.11,-4.79,0.04,1.63,3.69,-2.09,-4.75,1.42,1.42,156
11,Entry long,2025-08-15 07:30,Long,3.7526,11.73,44.017998,-2.11,-4.79,0.04,1.63,3.69,-2.09,-4.75,1.42,1.42,156
12,Exit long,2025-08-20 00:00,Long Exit,3.4804,18.71,67.148319,-2.1,-3.12,0.07,1.57,2.33,-2.06,-3.07,-0.67,-0.67,53
12,Entry long,2025-08-18 21:30,Long,3.5889,18.71,67.148319,-2.1,-3.12,0.07,1.57,2.33,-2.06,-3.07,-0.67,-0.67,53
13,Exit long,2025-08-21 02:30,Long Exit,3.5001,23.18,79.945502,1.11,1.38,0.08,2.88,3.60,-1.7,-2.13,0.43,0.43,34
13,Entry long,2025-08-20 09:30,Long,3.4489,23.18,79.945502,1.11,1.38,0.08,2.88,3.60,-1.7,-2.13,0.43,0.43,34
14,Exit long,2025-08-22 19:00,Long Exit,3.3562,22.6,77.85248,-2.08,-2.67,0.08,0.71,0.92,-2.04,-2.62,-1.65,-1.65,43
14,Entry long,2025-08-21 21:30,Long,3.4448,22.6,77.85248,-2.08,-2.67,0.08,0.71,0.92,-2.04,-2.62,-1.65,-1.65,43
15,Exit long,2025-08-23 09:00,Long Exit,3.7069,18.24,61.332,6.22,10.13,0.06,7.54,12.28,-0.04,-0.07,4.57,4.57,22
15,Entry long,2025-08-22 22:00,Long,3.3625,18.24,61.332,6.22,10.13,0.06,7.54,12.28,-0.04,-0.07,4.57,4.57,22
16,Exit short,2025-08-25 03:00,Short Exit,3.8169,17.42,64.396514,-2.16,-3.35,0.07,1.62,2.52,-2.13,-3.30,2.41,2.41,82
16,Entry short,2025-08-23 10:00,Short,3.6967,17.42,64.396514,-2.16,-3.35,0.07,1.62,2.52,-2.13,-3.30,2.41,2.41,82
17,Exit long,2025-08-27 08:30,Long Exit,3.4306,21.25,71.512625,1.32,1.84,0.07,2.61,3.65,-0.49,-0.68,3.73,3.73,46
17,Entry long,2025-08-26 09:30,Long,3.3653,21.25,71.512625,1.32,1.84,0.07,2.61,3.65,-0.49,-0.68,3.73,3.73,46
