Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Commission USDT,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
56,Exit long,2025-11-26 20:30,Close Long,1.4836,82.58,114.431106,7.97,6.96,0.12,19.05,16.64,-3.77,-3.29,22.41,22.41,164
56,Entry long,2025-11-23 10:30,Long,1.3857,82.58,114.431106,7.97,6.96,0.12,19.05,16.64,-3.77,-3.29,22.41,22.41,164
57,Exit short,2025-11-27 03:30,Close Short,1.5442,82.94,122.394558,-5.81,-4.74,0.13,0.54,0.44,-6.63,-5.41,16.6,16.60,13
57,Entry short,2025-11-26 21:00,Short,1.4757,82.94,122.394558,-5.81,-4.74,0.13,0.54,0.44,-6.63,-5.41,16.6,16.60,13
58,Exit long,2025-11-28 10:00,Close Long,1.5162,75.51,116.58744,-2.21,-1.90,0.12,2.95,2.53,-2.37,-2.03,14.39,14.39,60
58,Entry long,2025-11-27 04:00,Long,1.544,75.51,116.58744,-2.21,-1.90,0.12,2.95,2.53,-2.37,-2.03,14.39,14.39,60
59,Exit short,2025-11-28 19:00,Close Short,1.5593,75.3,114.36564,-3.17,-2.77,0.12,0.6,0.52,-4.55,-3.97,11.22,11.22,17
59,Entry short,2025-11-28 10:30,Short,1.5188,75.3,114.36564,-3.17,-2.77,0.12,0.6,0.52,-4.55,-3.97,11.22,11.22,17
60,Exit long,2025-11-29 03:00,Close Long,1.5181,70.4,111.21792,-4.45,-4.00,0.11,1.35,1.22,-5.5,-4.94,6.77,6.77,8
60,Entry long,2025-11-28 23:00,Long,1.5798,70.4,111.21792,-4.45,-4.00,0.11,1.35,1.22,-5.5,-4.94,6.77,6.77,8
61,Exit short,2025-11-30 18:00,Close Short,1.5466,69.69,106.772049,-1.12,-1.05,0.11,3.28,3.07,-1.14,-1.07,5.65,5.65,77
61,Entry short,2025-11-29 03:30,Short,1.5321,69.69,106.772049,-1.12,-1.05,0.11,3.28,3.07,-1.14,-1.07,5.65,5.65,77
62,Exit long,2025-12-01 07:30,End Close,1.4958,68.52,105.650988,-3.26,-3.09,0.1,1.82,1.72,-3.39,-3.21,2.39,2.39,26
62,Entry long,2025-11-30 18:30,Long,1.5419,68.52,105.650988,-3.26,-3.09,0.1,1.82,1.72,-3.39,-3.21,2.39,2.39,26
